account_id,bank,owner_id
AC-00001,StateTrust Bank,P-00091
AC-00002,Metro Bank,P-00145
AC-00003,StateTrust Bank,P-00146
AC-00004,Unity Financial,P-00340
AC-00005,Metro Bank,P-00381
AC-00006,Novagarh Co-op,P-00232
AC-00007,Novagarh Co-op,P-00144
AC-00008,Metro Bank,P-00167
AC-00009,Metro Bank,P-00184
AC-00010,StateTrust Bank,P-00362
AC-00011,Novagarh Co-op,P-00364
AC-00012,Metro Bank,P-00526
AC-00013,StateTrust Bank,P-00025
AC-00014,Unity Financial,P-00529
AC-00015,Metro Bank,P-00559
AC-00016,Metro Bank,P-00236
AC-00017,Metro Bank,P-00395
AC-00018,StateTrust Bank,P-00048
AC-00019,Unity Financial,P-00598
AC-00020,Novagarh Co-op,P-00252
AC-00021,Unity Financial,P-00257
AC-00022,Unity Financial,P-00271
AC-00023,Unity Financial,P-00329
AC-00024,Unity Financial,P-00373
AC-00025,Metro Bank,P-00508
AC-00026,Novagarh Co-op,P-00139
AC-00027,StateTrust Bank,P-00140
AC-00028,Metro Bank,P-00359
AC-00029,StateTrust Bank,P-00387
AC-00030,StateTrust Bank,P-00251
AC-00031,StateTrust Bank,P-00204
AC-00032,Novagarh Co-op,P-00557
AC-00033,Unity Financial,P-00069
AC-00034,Unity Financial,P-00070
AC-00035,Unity Financial,P-00303
AC-00036,Novagarh Co-op,P-00338
AC-00037,Metro Bank,P-00376
AC-00038,Novagarh Co-op,P-00480
AC-00039,Metro Bank,P-00062
AC-00040,Novagarh Co-op,P-00261
AC-00041,Metro Bank,P-00211
AC-00042,StateTrust Bank,P-00398
AC-00043,Metro Bank,P-00394
AC-00044,Novagarh Co-op,P-00036
AC-00045,Metro Bank,P-00207
AC-00046,Novagarh Co-op,P-00064
AC-00047,Metro Bank,P-00272
AC-00048,Unity Financial,P-00122
AC-00049,Novagarh Co-op,P-00556
AC-00050,Metro Bank,P-00309
AC-00051,Novagarh Co-op,P-00311
AC-00052,StateTrust Bank,P-00370
AC-00053,Novagarh Co-op,P-00234
AC-00054,StateTrust Bank,P-00179
AC-00055,Metro Bank,P-00286
AC-00056,Unity Financial,P-00486
AC-00057,Novagarh Co-op,P-00058
AC-00058,Unity Financial,P-00463
AC-00059,Novagarh Co-op,P-00471
AC-00060,StateTrust Bank,P-00072
AC-00061,StateTrust Bank,P-00393
AC-00062,StateTrust Bank,P-00265
AC-00063,Metro Bank,P-00574
AC-00064,StateTrust Bank,P-00312
AC-00065,Novagarh Co-op,P-00429
AC-00066,StateTrust Bank,P-00354
AC-00067,StateTrust Bank,P-00327
AC-00068,Metro Bank,P-00538
AC-00069,StateTrust Bank,P-00294
AC-00070,Novagarh Co-op,P-00372
AC-00071,Metro Bank,P-00335
AC-00072,Unity Financial,P-00128
AC-00073,Novagarh Co-op,P-00120
AC-00074,Novagarh Co-op,P-00018
AC-00075,Novagarh Co-op,P-00560
AC-00076,Unity Financial,P-00083
AC-00077,Novagarh Co-op,P-00285
AC-00078,Novagarh Co-op,P-00175
AC-00079,Metro Bank,P-00462
AC-00080,Unity Financial,P-00484
AC-00081,StateTrust Bank,P-00343
AC-00082,Unity Financial,P-00565
AC-00083,StateTrust Bank,P-00187
AC-00084,Novagarh Co-op,P-00106
AC-00085,StateTrust Bank,P-00442
AC-00086,StateTrust Bank,P-00068
AC-00087,StateTrust Bank,P-00143
AC-00088,Metro Bank,P-00193
AC-00089,StateTrust Bank,P-00336
AC-00090,StateTrust Bank,P-00131
AC-00091,Novagarh Co-op,P-00403
AC-00092,Unity Financial,P-00181
AC-00093,Unity Financial,P-00348
AC-00094,Novagarh Co-op,P-00522
AC-00095,StateTrust Bank,P-00530
AC-00096,StateTrust Bank,P-00478
AC-00097,Metro Bank,P-00316
AC-00098,Unity Financial,P-00262
AC-00099,Novagarh Co-op,P-00550
AC-00100,Metro Bank,P-00289
AC-00101,StateTrust Bank,P-00472
AC-00102,Metro Bank,P-00566
AC-00103,StateTrust Bank,P-00250
AC-00104,Metro Bank,P-00192
AC-00105,StateTrust Bank,P-00367
AC-00106,Metro Bank,P-00197
AC-00107,StateTrust Bank,P-00585
AC-00108,Novagarh Co-op,P-00218
AC-00109,Metro Bank,P-00124
AC-00110,Metro Bank,P-00097
AC-00111,Unity Financial,P-00447
AC-00112,Metro Bank,P-00151
AC-00113,Novagarh Co-op,P-00104
AC-00114,Novagarh Co-op,P-00013
AC-00115,Unity Financial,P-00531
AC-00116,StateTrust Bank,P-00222
AC-00117,Novagarh Co-op,P-00206
AC-00118,StateTrust Bank,P-00229
AC-00119,StateTrust Bank,P-00166
AC-00120,Unity Financial,P-00012
AC-00121,Unity Financial,P-00191
AC-00122,Metro Bank,P-00440
AC-00123,StateTrust Bank,P-00521
AC-00124,Novagarh Co-op,P-00142
AC-00125,Unity Financial,P-00319
AC-00126,StateTrust Bank,P-00482
AC-00127,Novagarh Co-op,P-00506
AC-00128,StateTrust Bank,P-00540
AC-00129,StateTrust Bank,P-00593
AC-00130,Novagarh Co-op,P-00287
AC-00131,Novagarh Co-op,P-00196
AC-00132,Unity Financial,P-00443
AC-00133,StateTrust Bank,P-00295
AC-00134,Novagarh Co-op,P-00292
AC-00135,StateTrust Bank,P-00426
AC-00136,Unity Financial,P-00298
AC-00137,Novagarh Co-op,P-00494
AC-00138,Novagarh Co-op,P-00248
AC-00139,StateTrust Bank,P-00239
AC-00140,Novagarh Co-op,P-00049
AC-00141,Unity Financial,P-00186
AC-00142,Unity Financial,P-00118
AC-00143,Metro Bank,P-00177
AC-00144,Novagarh Co-op,P-00215
AC-00145,StateTrust Bank,P-00567
AC-00146,Unity Financial,P-00016
AC-00147,Unity Financial,P-00378
AC-00148,Metro Bank,P-00496
AC-00149,Metro Bank,P-00003
AC-00150,Metro Bank,P-00224
AC-00151,Metro Bank,P-00148
AC-00152,Novagarh Co-op,P-00505
AC-00153,Unity Financial,P-00238
AC-00154,Novagarh Co-op,P-00205
AC-00155,Novagarh Co-op,P-00063
AC-00156,Unity Financial,P-00195
AC-00157,Metro Bank,P-00570
AC-00158,StateTrust Bank,P-00274
AC-00159,Unity Financial,P-00153
AC-00160,Novagarh Co-op,P-00383
AC-00161,Novagarh Co-op,P-00504
AC-00162,Metro Bank,P-00056
AC-00163,Metro Bank,P-00551
AC-00164,Metro Bank,P-00173
AC-00165,Metro Bank,P-00021
AC-00166,Unity Financial,P-00350
AC-00167,Unity Financial,P-00434
AC-00168,StateTrust Bank,P-00568
AC-00169,Metro Bank,P-00489
AC-00170,Metro Bank,P-00474
AC-00171,Novagarh Co-op,P-00422
AC-00172,Unity Financial,P-00095
AC-00173,Unity Financial,P-00061
AC-00174,StateTrust Bank,P-00039
AC-00175,Metro Bank,P-00573
AC-00176,Novagarh Co-op,P-00209
AC-00177,StateTrust Bank,P-00171
AC-00178,Unity Financial,P-00351
AC-00179,Metro Bank,P-00028
AC-00180,Unity Financial,P-00583
AC-00181,Unity Financial,P-00235
AC-00182,Metro Bank,P-00543
AC-00183,StateTrust Bank,P-00030
AC-00184,StateTrust Bank,P-00113
AC-00185,Novagarh Co-op,P-00467
AC-00186,Unity Financial,P-00002
AC-00187,Metro Bank,P-00532
AC-00188,Novagarh Co-op,P-00318
AC-00189,Unity Financial,P-00288
AC-00190,Novagarh Co-op,P-00176
AC-00191,StateTrust Bank,P-00219
AC-00192,Novagarh Co-op,P-00424
AC-00193,Unity Financial,P-00231
AC-00194,Unity Financial,P-00412
AC-00195,Novagarh Co-op,P-00594
AC-00196,Unity Financial,P-00160
AC-00197,StateTrust Bank,P-00333
AC-00198,StateTrust Bank,P-00022
AC-00199,Unity Financial,P-00103
AC-00200,StateTrust Bank,P-00243
AC-00201,Unity Financial,P-00366
AC-00202,Novagarh Co-op,P-00360
AC-00203,Metro Bank,P-00465
AC-00204,Unity Financial,P-00264
AC-00205,Novagarh Co-op,P-00457
AC-00206,StateTrust Bank,P-00005
AC-00207,Metro Bank,P-00487
AC-00208,Unity Financial,P-00121
AC-00209,Novagarh Co-op,P-00247
AC-00210,Novagarh Co-op,P-00588
AC-00211,StateTrust Bank,P-00554
AC-00212,Unity Financial,P-00126
AC-00213,StateTrust Bank,P-00346
AC-00214,Metro Bank,P-00325
AC-00215,Metro Bank,P-00217
AC-00216,Unity Financial,P-00375
AC-00217,Unity Financial,P-00313
AC-00218,Novagarh Co-op,P-00456
AC-00219,Novagarh Co-op,P-00404
AC-00220,StateTrust Bank,P-00284
AC-00221,Metro Bank,P-00405
AC-00222,Metro Bank,P-00065
AC-00223,StateTrust Bank,P-00099
AC-00224,Unity Financial,P-00270
AC-00225,Metro Bank,P-00060
AC-00226,StateTrust Bank,P-00441
AC-00227,StateTrust Bank,P-00466
AC-00228,Metro Bank,P-00246
AC-00229,Novagarh Co-op,P-00141
AC-00230,Unity Financial,P-00004
AC-00231,Metro Bank,P-00073
AC-00232,Novagarh Co-op,P-00245
AC-00233,StateTrust Bank,P-00178
AC-00234,Unity Financial,P-00449
AC-00235,StateTrust Bank,P-00548
AC-00236,StateTrust Bank,P-00406
