fir_id,crime_type,severity,ward,lat,lng,timestamp,hour,weekday,is_night,is_weekend,is_festival_day,weather,population_density,weapon,suspect_id,station_id,status
FIR-000001,Theft,3,North District,26.91834,75.81601,2026-05-03T20:13:58.257791,20,6,1,1,0,Clear,8200,None,P-00273,PS-002,Under Investigation
FIR-000002,Theft,2,West Sector,26.89571,75.774847,2026-02-28T00:09:58.257791,0,5,1,1,0,Clear,9100,None,P-00483,PS-001,Closed
FIR-000003,Vehicle Theft,1,Industrial Belt,26.84958,75.760425,2025-11-15T20:54:58.257791,20,5,1,1,1,Fog,3100,None,P-00457,PS-007,Under Investigation
FIR-000004,Fraud,2,North District,26.923286,75.82494,2026-07-16T02:22:58.257791,2,3,1,0,0,Clear,8200,None,P-00001,PS-002,Under Investigation
FIR-000005,Extortion,3,Industrial Belt,26.852086,75.774355,2026-06-10T09:38:58.257791,9,2,0,0,0,Clear,3100,Blunt Object,P-00244,PS-003,Cold
FIR-000006,Burglary,2,Old City,26.907097,75.811246,2026-03-03T03:52:58.257791,3,1,1,0,0,Clear,16200,None,P-00258,PS-008,Closed
FIR-000007,Theft,3,South Division,26.88177,75.798049,2025-11-30T08:58:58.257791,8,6,0,1,0,Clear,6400,None,P-00121,PS-003,Chargesheet Filed
FIR-000008,Kidnapping,5,North District,26.923922,75.814085,2026-01-14T08:22:58.257791,8,2,0,0,0,Rain,8200,Firearm,P-00258,PS-006,Chargesheet Filed
FIR-000009,Assault,2,Old City,26.90655,75.802848,2026-05-28T08:58:58.257791,8,3,0,0,0,Clear,16200,Firearm,P-00109,PS-008,Under Investigation
FIR-000010,Theft,2,East Ward,26.90833,75.841171,2026-07-18T07:14:58.257791,7,5,0,1,0,Clear,10800,None,,PS-008,Cold
FIR-000011,Narcotics,3,Riverside,26.88214,75.820686,2025-10-24T02:49:58.257791,2,4,1,0,0,Cloudy,5200,None,P-00143,PS-001,Closed
FIR-000012,Robbery,4,Old City,26.909922,75.816267,2026-06-04T21:18:58.257791,21,3,1,0,0,Rain,16200,Knife,P-00489,PS-008,Closed
FIR-000013,Burglary,3,East Ward,26.894551,75.825073,2025-12-22T13:26:58.257791,13,0,0,0,0,Cloudy,10800,None,P-00159,PS-005,Chargesheet Filed
FIR-000014,Vehicle Theft,1,North District,26.909198,75.811305,2026-04-03T02:51:58.257791,2,4,1,0,0,Clear,8200,None,,PS-003,Cold
FIR-000015,Extortion,4,Old City,26.908253,75.804356,2025-10-08T17:03:58.257791,17,2,0,0,0,Clear,16200,Blunt Object,P-00582,PS-007,Under Investigation
FIR-000016,Robbery,5,Industrial Belt,26.869022,75.777305,2025-12-07T03:29:58.257791,3,6,1,1,0,Clear,3100,Knife,P-00558,PS-005,Under Investigation
FIR-000017,Extortion,4,East Ward,26.9061,75.827023,2025-12-28T02:56:58.257791,2,6,1,1,0,Clear,10800,Blunt Object,,PS-002,Under Investigation
FIR-000018,Assault,4,South Division,26.868264,75.788092,2026-01-03T10:50:58.257791,10,5,0,1,0,Cloudy,6400,Improvised,P-00024,PS-001,Cold
FIR-000019,Burglary,4,South Division,26.866955,75.792901,2025-10-06T13:49:58.257791,13,0,0,0,0,Clear,6400,None,,PS-005,Under Investigation
FIR-000020,Narcotics,4,Riverside,26.879045,75.799304,2025-09-29T06:33:58.257791,6,0,0,0,0,Clear,5200,None,P-00471,PS-002,Under Investigation
FIR-000021,Narcotics,2,North District,26.925771,75.824186,2025-12-22T12:21:58.257791,12,0,0,0,0,Cloudy,8200,None,,PS-001,Chargesheet Filed
FIR-000022,Extortion,5,South Division,26.878454,75.785221,2026-05-10T17:22:58.257791,17,6,0,1,0,Clear,6400,Blunt Object,P-00005,PS-004,Under Investigation
FIR-000023,Burglary,3,North District,26.908592,75.820139,2026-05-31T21:24:58.257791,21,6,1,1,0,Clear,8200,None,P-00103,PS-005,Under Investigation
FIR-000024,Fraud,3,Industrial Belt,26.862812,75.768376,2025-11-24T11:07:58.257791,11,0,0,0,0,Rain,3100,None,,PS-003,Under Investigation
FIR-000025,Assault,5,Old City,26.914531,75.799947,2025-11-26T23:23:58.257791,23,2,1,0,0,Rain,16200,Blunt Object,P-00438,PS-006,Closed
