transfer_id,from_account,to_account,amount,timestamp
TXN-000001,AC-00024,AC-00202,191172.94,2026-02-13T09:35:07.772640
TXN-000002,AC-00280,AC-00005,165788.36,2026-07-04T21:24:38.772640
TXN-000003,AC-00197,AC-00355,217551.19,2026-03-15T05:41:19.772640
TXN-000004,AC-00137,AC-00122,75294.19,2026-07-15T17:38:55.772640
TXN-000005,AC-00301,AC-00186,213703.03,2026-03-17T16:58:11.772640
TXN-000006,AC-00306,AC-00182,192314.99,2026-02-12T07:28:57.772640
TXN-000007,AC-00346,AC-00124,206174.29,2025-09-23T01:51:48.772640
TXN-000008,AC-00241,AC-00036,231065.72,2025-08-31T16:46:56.772640
TXN-000009,AC-00224,AC-00065,206161.91,2026-03-28T18:32:34.772640
TXN-000010,AC-00229,AC-00243,207791.56,2025-09-20T19:55:37.772640
TXN-000011,AC-00001,AC-00280,13153.68,2026-04-14T10:22:28.772640
TXN-000012,AC-00332,AC-00303,74704.44,2026-06-05T18:24:36.772640
TXN-000013,AC-00101,AC-00164,48740.61,2025-12-17T05:52:49.772640
TXN-000014,AC-00280,AC-00041,99056.03,2025-08-01T10:39:56.772640
TXN-000015,AC-00203,AC-00045,138723.07,2025-10-03T14:55:13.772640
TXN-000016,AC-00054,AC-00195,31002.87,2025-11-10T22:05:05.772640
TXN-000017,AC-00095,AC-00356,7281.21,2026-07-11T15:26:56.772640
TXN-000018,AC-00357,AC-00349,99500.37,2026-06-06T15:33:44.772640
TXN-000019,AC-00325,AC-00164,240187.08,2026-02-22T19:51:55.772640
TXN-000020,AC-00353,AC-00234,143885.42,2026-05-20T12:59:40.772640
TXN-000021,AC-00038,AC-00074,82535.65,2026-03-23T14:42:00.772640
TXN-000022,AC-00045,AC-00218,209114.04,2025-08-01T04:11:21.772640
TXN-000023,AC-00291,AC-00305,137341.54,2026-07-26T16:16:31.772640
TXN-000024,AC-00305,AC-00341,148935.03,2026-02-22T22:07:05.772640
TXN-000025,AC-00014,AC-00186,41830.66,2026-04-02T11:18:36.772640
TXN-000026,AC-00174,AC-00069,180899.73,2025-12-18T05:05:26.772640
TXN-000027,AC-00244,AC-00152,153181.58,2025-09-08T07:49:36.772640
TXN-000028,AC-00078,AC-00297,78783.36,2025-08-27T11:28:47.772640
TXN-000029,AC-00137,AC-00321,21686.5,2026-01-11T05:12:59.772640
TXN-000030,AC-00045,AC-00305,134407.31,2026-05-31T07:26:25.772640
TXN-000031,AC-00230,AC-00270,225617.07,2026-01-20T05:46:17.772640
TXN-000032,AC-00169,AC-00286,234302.38,2025-09-16T03:45:52.772640
TXN-000033,AC-00229,AC-00100,171960.96,2025-12-03T16:50:00.772640
TXN-000034,AC-00092,AC-00105,97366.83,2025-10-02T02:24:10.772640
TXN-000035,AC-00017,AC-00006,117463.82,2025-10-05T07:17:37.772640
TXN-000036,AC-00017,AC-00103,172872.68,2025-09-11T21:43:21.772640
TXN-000037,AC-00157,AC-00154,39836.81,2026-05-13T20:26:54.772640
TXN-000038,AC-00057,AC-00030,249913.92,2026-05-09T20:11:19.772640
TXN-000039,AC-00346,AC-00045,203502.7,2025-08-12T23:08:31.772640
TXN-000040,AC-00005,AC-00002,91514.81,2026-07-01T03:41:44.772640
TXN-000041,AC-00321,AC-00226,200891.37,2025-08-14T15:04:05.772640
TXN-000042,AC-00338,AC-00290,167208.19,2026-02-09T14:11:37.772640
TXN-000043,AC-00346,AC-00337,191947.7,2025-09-11T07:32:27.772640
TXN-000044,AC-00066,AC-00309,226724.96,2025-10-04T06:03:04.772640
TXN-000045,AC-00279,AC-00265,34908.14,2025-10-17T19:18:07.772640
TXN-000046,AC-00335,AC-00297,62812.58,2026-02-17T08:52:10.772640
TXN-000047,AC-00251,AC-00152,19851.77,2026-01-05T23:00:21.772640
TXN-000048,AC-00087,AC-00013,13829.54,2026-01-21T22:10:06.772640
TXN-000049,AC-00105,AC-00038,155807.97,2026-07-21T18:37:05.772640
TXN-000050,AC-00034,AC-00245,176426.56,2025-11-29T09:53:49.772640
TXN-000051,AC-00204,AC-00094,54329.75,2026-02-11T15:38:32.772640
TXN-000052,AC-00310,AC-00194,90475.17,2026-02-04T00:29:01.772640
TXN-000053,AC-00196,AC-00205,175472.82,2025-10-20T08:04:28.772640
TXN-000054,AC-00203,AC-00121,214435.73,2026-05-08T00:52:01.772640
TXN-000055,AC-00231,AC-00103,49106.02,2026-05-26T00:38:09.772640
TXN-000056,AC-00172,AC-00130,116499.38,2026-07-14T12:12:21.772640
TXN-000057,AC-00143,AC-00016,131802.8,2025-08-21T11:04:54.772640
TXN-000058,AC-00035,AC-00185,177688.52,2026-03-25T21:04:25.772640
TXN-000059,AC-00051,AC-00005,171754.35,2026-02-28T01:57:46.772640
TXN-000060,AC-00213,AC-00326,193978.06,2026-02-19T08:52:02.772640
TXN-000061,AC-00196,AC-00058,208903.25,2025-12-01T18:37:13.772640
TXN-000062,AC-00190,AC-00099,233630.24,2025-11-26T11:17:14.772640
TXN-000063,AC-00122,AC-00166,182659.78,2026-04-15T07:45:16.772640
TXN-000064,AC-00084,AC-00031,99383.53,2026-01-21T10:27:17.772640
TXN-000065,AC-00250,AC-00305,173509.68,2026-02-13T19:21:08.772640
TXN-000066,AC-00320,AC-00303,102241.0,2026-07-03T16:33:16.772640
TXN-000067,AC-00132,AC-00069,220264.3,2026-06-06T09:35:05.772640
TXN-000068,AC-00169,AC-00286,73521.22,2026-05-28T17:39:00.772640
TXN-000069,AC-00324,AC-00199,98449.42,2026-05-24T03:50:16.772640
TXN-000070,AC-00066,AC-00101,66971.12,2025-11-21T17:47:35.772640
TXN-000071,AC-00203,AC-00094,115315.79,2025-09-16T12:46:05.772640
TXN-000072,AC-00242,AC-00199,20981.73,2026-06-25T10:34:09.772640
TXN-000073,AC-00267,AC-00358,2237.5,2026-01-29T15:06:08.772640
