vehicle_id,plate,type,owner_id
V-00001,MH26A7455,Truck,P-00014
V-00002,RJ20G3223,Auto-rickshaw,P-00040
V-00003,DL16E7211,SUV,P-00031
V-00004,DL68F6529,Auto-rickshaw,P-00046
V-00005,UP63E2341,Auto-rickshaw,P-00018
V-00006,RJ79A6733,Sedan,P-00049
V-00007,RJ93A1508,Sedan,P-00027
V-00008,DL12C4908,Sedan,P-00026
V-00009,MH95B4571,Auto-rickshaw,P-00033
V-00010,UP57C2876,Sedan,P-00020
V-00011,UP23A6111,Truck,P-00013
V-00012,MH60D2245,Truck,P-00005
V-00013,DL23E2983,Truck,P-00038
V-00014,RJ54G7071,Motorcycle,P-00009
V-00015,UP11G9031,Motorcycle,P-00004
V-00016,MH56H3506,Auto-rickshaw,P-00007
V-00017,DL76E9817,Auto-rickshaw,P-00042
V-00018,MH65E6280,Sedan,P-00047
V-00019,RJ45H4995,Auto-rickshaw,P-00048
V-00020,MH53A9098,SUV,P-00016
V-00021,DL72D6813,SUV,P-00010
V-00022,UP45E1166,Truck,P-00017
V-00023,DL20D7658,Auto-rickshaw,P-00025
V-00024,DL98H9041,Auto-rickshaw,P-00035
V-00025,RJ21E4630,Auto-rickshaw,P-00032
V-00026,DL49F8753,Truck,P-00001
V-00027,UP64F6764,Auto-rickshaw,P-00045
V-00028,UP49E4777,Motorcycle,P-00028
V-00029,DL50B9779,Sedan,P-00034
V-00030,DL37H5530,Truck,P-00006
V-00031,UP22D5853,Sedan,P-00030
V-00032,UP32E1231,Truck,P-00012
V-00033,DL45A1893,Truck,P-00037
V-00034,UP99C9042,Motorcycle,P-00002
V-00035,RJ83E8690,Auto-rickshaw,P-00022
